Boss,Game,Relation,Species
Dry Bones,Mario & Luigi: Dream Team,BOSS_IN,
Dry Bones,Paper Mario: Sticker Star,BOSS_IN,
Dry Bones,New Super Mario Bros. Wii,BOSS_IN,
Dry Bones,Mario Kart World,BOSS_IN,
Dry Bones,Mario Party: Island Tour,BOSS_IN,
Dry Bones,Mario & Luigi: Paper Jam,BOSS_IN,
Dry Bones,Paper Mario: Color Splash,BOSS_IN,
Dry Bones,Super Mario Galaxy 2,BOSS_IN,
Dry Bones,Mario Party 10,BOSS_IN,
Dry Bones,Mario & Luigi: Brothership,BOSS_IN,
Dry Bones,Paper Mario: The Origami King,BOSS_IN,
Dry Bones,Super Mario 3D Land,BOSS_IN,
Dry Bones,Mario Party: Star Rush,BOSS_IN,
Dry Bones,New Super Mario Bros. 2,BOSS_IN,
Dry Bones,Mario Party: The Top 100,BOSS_IN,
Dry Bones,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,
Dry Bones,Super Mario Party,BOSS_IN,
Dry Bones,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN,
Dry Bones,Mario Party Superstars,BOSS_IN,
Dry Bones,Super Mario Maker / Super Mario Maker for Nintendo 3DS,BOSS_IN,
Dry Bones,Super Mario Party Jamboree,BOSS_IN,
Dry Bones,Super Mario Run,BOSS_IN,
Dry Bones,Super Mario Maker 2,BOSS_IN,
Dry Bones,Super Mario Bros. Wonder,BOSS_IN,
Fawful,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN,Beanish
Fawful,Mario & Luigi: Partners in Time,BOSS_IN,Beanish
Fawful,Mario & Luigi: Bowser's Inside Story / Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN,Beanish
Fire Snake,Super Mario Bros. 3,BOSS_IN,
Fire Snake,Mario Kart DS,BOSS_IN,
Fire Snake,Super Mario World,BOSS_IN,
Fire Snake,Mario Kart Wii,BOSS_IN,
Fire Snake,New Super Mario Bros.,BOSS_IN,
Fire Snake,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN,
Fire Snake,New Super Mario Bros. Wii,BOSS_IN,
Fire Snake,Mario Kart World,BOSS_IN,
Fire Snake,New Super Mario Bros. 2,BOSS_IN,
Fire Snake,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,
Foreman Spike,Wrecking Crew,BOSS_IN,Human
Foreman Spike,Wrecking Crew '98,BOSS_IN,Human
Fracktail,Super Smash Bros. Brawl,BOSS_IN,Dragon;Robot
Fracktail,Super Smash Bros. for Wii U,BOSS_IN,Dragon;Robot
Freezie,Mario Kart: Double Dash!!,BOSS_IN,
Freezie,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN,
Freezie,Mario Kart Live: Home Circuit,BOSS_IN,
Freezie,Mario Kart World,BOSS_IN,
Fryguy,Yume Kōjō: Doki Doki Panic / Super Mario Bros. 2,BOSS_IN,
Fryguy,BS Super Mario USA,BOSS_IN,
Giga Bowser,Super Smash Bros. Melee,BOSS_IN,
Giga Bowser,Super Smash Bros. Brawl,BOSS_IN,
Giga Bowser,Super Smash Bros. for Nintendo 3DS / Wii U,BOSS_IN,
Giga Bowser,Super Smash Bros. Ultimate,BOSS_IN,
Goomboss,Paper Mario,BOSS_IN,Goomba
Goomboss,Paper Mario: The Thousand-Year Door,BOSS_IN,Goomba
Goomba Tower,Super Mario 3D Land,BOSS_IN,
Goomba Tower,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN,
Goomba Tower,Mario Party 9,BOSS_IN,
Goomba Tower,Mario & Luigi: Paper Jam,BOSS_IN,
Goomba Tower,Paper Mario: Sticker Star,BOSS_IN,
Goomba Tower,New Super Mario Bros. 2,BOSS_IN,
Goomba Tower,Mario Kart Tour,BOSS_IN,
Goomba Tower,Mario Party: Island Tour,BOSS_IN,
Goomba Tower,Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN,
Goomba Tower,Paper Mario: Color Splash,BOSS_IN,
Goomba Tower,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN,
Goomba Tower,Mario Party 10,BOSS_IN,
Goomba Tower,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN,
Goomba Tower,Super Mario Maker / Super Mario Maker for Nintendo 3DS / Super Mario Maker 2,BOSS_IN,
Goomba Tower,Mario Party Superstars,BOSS_IN,
Goomba Tower,Mario & Luigi: Brothership,BOSS_IN,
Goomba Tower,Super Mario Odyssey,BOSS_IN,
Goomba Tower,Super Mario Party Jamboree,BOSS_IN,
Gooper Blooper,Paper Mario: Sticker Star,BOSS_IN,Blooper;Poison Blooper
Gooper Blooper,Mario Power Tennis,BOSS_IN,Blooper;Poison Blooper
Gooper Blooper,Paper Mario: The Origami King,BOSS_IN,Blooper;Poison Blooper
Gooper Blooper,Mario Tennis Aces,BOSS_IN,Blooper;Poison Blooper
Hammer Bro,Super Mario Bros. / Super Mario Bros.: The Lost Levels,BOSS_IN,
Hammer Bro,Mario Kart: Super Circuit,BOSS_IN,
Hammer Bro,Mario Party,BOSS_IN,
Hammer Bro,Mario & Luigi: Superstar Saga / Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN,
Hammer Bro,Paper Mario,BOSS_IN,
Hammer Bro,Super Mario Bros. 3,BOSS_IN,
Hammer Bro,Mario Kart Wii,BOSS_IN,
Hammer Bro,Mario Party 2,BOSS_IN,
Hammer Bro,Mario & Luigi: Partners in Time,BOSS_IN,
Hammer Bro,Paper Mario: The Thousand-Year Door,BOSS_IN,
Hammer Bro,Super Mario World,BOSS_IN,
Hammer Bro,Mario Kart 7,BOSS_IN,
Hammer Bro,Mario Party 3,BOSS_IN,
Hammer Bro,Mario & Luigi: Dream Team,BOSS_IN,
Hammer Bro,Super Paper Mario,BOSS_IN,
Hammer Bro,New Super Mario Bros.,BOSS_IN,
Hammer Bro,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN,
Hammer Bro,Mario Party 5,BOSS_IN,
Hammer Bro,Mario & Luigi: Paper Jam,BOSS_IN,
Hammer Bro,Paper Mario: Sticker Star,BOSS_IN,
Hammer Bro,New Super Mario Bros. Wii,BOSS_IN,
Hammer Bro,Mario Kart Tour,BOSS_IN,
Hammer Bro,Mario Party Advance,BOSS_IN,
Hammer Bro,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN,
Hammer Bro,Paper Mario: Color Splash,BOSS_IN,
Hammer Bro,Super Mario Galaxy 2,BOSS_IN,
Hammer Bro,Mario Kart World,BOSS_IN,
Hammer Bro,Mario Party 7,BOSS_IN,
Hammer Bro,Mario & Luigi: Brothership,BOSS_IN,
Hammer Bro,Paper Mario: The Origami King,BOSS_IN,
Hammer Bro,Super Mario 3D Land,BOSS_IN,
Hammer Bro,Mario Party 8,BOSS_IN,
Hammer Bro,New Super Mario Bros. 2,BOSS_IN,
Hammer Bro,Mario Party DS,BOSS_IN,
Hammer Bro,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,
Hammer Bro,Mario Party 9,BOSS_IN,
Hammer Bro,Super Mario 3D World / Super Mario 3D World + Bowser's Fury,BOSS_IN,
Hammer Bro,Mario Party: Island Tour,BOSS_IN,
Hammer Bro,Super Mario Maker / Super Mario Maker for Nintendo 3DS / Super Mario Maker 2,BOSS_IN,
Hammer Bro,Mario Party 10,BOSS_IN,
Hammer Bro,Super Mario Odyssey,BOSS_IN,
Hammer Bro,Mario Party: Star Rush,BOSS_IN,
Hammer Bro,Super Mario Bros. Wonder,BOSS_IN,
Hammer Bro,Mario Party: The Top 100,BOSS_IN,
Hammer Bro,Super Mario Party,BOSS_IN,
Hammer Bro,Mario Party Superstars,BOSS_IN,
Hammer Bro,Super Mario Party Jamboree,BOSS_IN,
Impostor Bowser,Super Mario Bros. / Super Mario Bros.: The Lost Levels / Super Mario Bros. Deluxe,BOSS_IN,
Impostor Bowser,Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN,
Impostor Bowser,Super Mario 3D Land,BOSS_IN,
Impostor Bowser,Super Mario Run,BOSS_IN,
Iggy,Super Mario Bros. 3 / Super Mario Advance 4: Super Mario Bros. 3,BOSS_IN,Koopa
Iggy,Mario Kart 8 / Mario Kart 8 Deluxe,BOSS_IN,Koopa
Iggy,Mario & Luigi: Superstar Saga,BOSS_IN,Koopa
Iggy,Super Smash Bros. for Nintendo 3DS / Wii U,BOSS_IN,Koopa
Iggy,Super Mario World / Super Mario World: Super Mario Advance 2,BOSS_IN,Koopa
Iggy,Mario Kart Tour,BOSS_IN,Koopa
Iggy,Mario & Luigi: Paper Jam,BOSS_IN,Koopa
Iggy,Super Smash Bros. Ultimate,BOSS_IN,Koopa
Iggy,New Super Mario Bros. Wii,BOSS_IN,Koopa
Iggy,Mario Kart Live: Home Circuit,BOSS_IN,Koopa
Iggy,Mario & Luigi: Superstar Saga + Bowser's Minions,BOSS_IN,Koopa
Iggy,New Super Mario Bros. 2,BOSS_IN,Koopa
Iggy,Mario & Luigi: Bowser's Inside Story + Bowser Jr.'s Journey,BOSS_IN,Koopa
Iggy,New Super Mario Bros. U / New Super Luigi U / New Super Mario Bros. U Deluxe,BOSS_IN,Koopa
Iggy,Super Mario Maker 2,BOSS_IN,Koopa
Jr. Troopa,Paper Mario,BOSS_IN,Koopa Troopa
Jr. Troopa,Paper Mario: The Thousand-Year Door,BOSS_IN,Koopa Troopa
Kammy Koopa,Paper Mario,BOSS_IN,Magikoopa
