Game,Relation,Figure,Species,Console,Year,Sales
luigi's mansion,BOSS_IN,boolossus,big boo,GC,2001,3.6
luigi's mansion,BOSS_IN,boolossus,big boo,3DS,2018,3.6
luigi's mansion: dark moon,BOSS_IN,boolossus,big boo,3DS,2013,4.59
luigi's mansion 3,BOSS_IN,boolossus,big boo,Switch,2019,
mario kart ds,BOSS_IN,blooper,,DS,2005,23.21
mario party,BOSS_IN,blooper,,N64,1998,2.7
paper mario,BOSS_IN,blooper,,N64,2000,1.38
mario kart wii,BOSS_IN,blooper,,Wii,2008,35.52
mario party 2,BOSS_IN,blooper,,N64,1999,2.5
paper mario: the thousand-year door,BOSS_IN,blooper,,GC,2004,2.25
paper mario: the thousand-year door,BOSS_IN,blooper,,Switch,2024,2.25
super mario sunshine,BOSS_IN,blooper,,GC,2002,6.31
mario kart 7,BOSS_IN,blooper,,3DS,2011,12.66
mario party 3,BOSS_IN,blooper,,N64,2000,1.91
mario & luigi: dream team,BOSS_IN,blooper,,3DS,2013,2.08
super paper mario,BOSS_IN,blooper,,Wii,2007,3.71
new super mario bros.,BOSS_IN,blooper,,DS,2006,29.8
mario party 4,BOSS_IN,blooper,,GC,2002,2.47
mario & luigi: paper jam,BOSS_IN,blooper,,3DS,2015,0.76
paper mario: sticker star,BOSS_IN,blooper,,3DS,2012,2.3
super mario galaxy,BOSS_IN,blooper,,Wii,2007,11.35
mario kart tour,BOSS_IN,blooper,,Mobile,2019,
mario party 6,BOSS_IN,blooper,,GC,2004,1.65
mario & luigi: brothership,BOSS_IN,blooper,,Switch,2024,
paper mario: color splash,BOSS_IN,blooper,,WiiU,2016,0.42
new super mario bros. wii,BOSS_IN,blooper,,Wii,2009,28.32
mario kart world,BOSS_IN,blooper,,Switch 2,2025,
mario party advance,BOSS_IN,blooper,,GBA,2005,0.98
paper mario: the origami king,BOSS_IN,blooper,,Switch,2020,
super mario galaxy 2,BOSS_IN,blooper,,Wii,2010,7.51
mario party 8,BOSS_IN,blooper,,Wii,2007,8.27
super mario 3d land,BOSS_IN,blooper,,3DS,2011,10.81
mario party ds,BOSS_IN,blooper,,DS,2007,8.91
