Game,Relation,Figure,Species,Console,Year,Sales
mario & sonic at the london 2012 olympic games,CHARACTER_IN,luigi,human,3DS,2012,4.9
fortune street,CHARACTER_IN,luigi,human,Wii,2011,0.48
mario kart 7,CHARACTER_IN,luigi,human,3DS,2011,12.66
mario party 9,CHARACTER_IN,luigi,human,Wii,2012,3.13
mario tennis open,CHARACTER_IN,luigi,human,3DS,2012,0.95
new super mario bros. 2,CHARACTER_IN,luigi,human,3DS,2012,9.9
paper mario: sticker star,CHARACTER_IN,luigi,human,3DS,2012,2.3
new super mario bros. u,CHARACTER_IN,luigi,human,WiiU,2012,5.22
luigi's mansion: dark moon,CHARACTER_IN,luigi,human,3DS,2013,4.59
new super luigi u,CHARACTER_IN,luigi,human,WiiU,2013,2.24
mario & luigi: dream team,CHARACTER_IN,luigi,human,3DS,2013,2.08
mario kart arcade gp dx,CHARACTER_IN,luigi,human,Arcade,2013,
mario party fushigi no korokoro catcher 2,CHARACTER_IN,luigi,human,Arcade,2013,
mario & sonic at the sochi 2014 olympic winter games,CHARACTER_IN,luigi,human,WiiU,2013,0.78
super mario 3d world,CHARACTER_IN,luigi,human,WiiU,2013,4.32
mario party: island tour,CHARACTER_IN,luigi,human,3DS,2013,1.92
nes remix,CHARACTER_IN,luigi,human,WiiU,2013,0.28
dr. luigi,CHARACTER_IN,luigi,human,WiiU,2013,
nes remix 2,CHARACTER_IN,luigi,human,WiiU,2014,
nes remix pack,CHARACTER_IN,luigi,human,WiiU,2014,
mario golf: world tour,CHARACTER_IN,luigi,human,3DS,2014,0.48
mario kart 8,CHARACTER_IN,luigi,human,WiiU,2014,14.18
super smash bros. for nintendo 3ds,CHARACTER_IN,luigi,human,3DS,2014,
ultimate nes remix,CHARACTER_IN,luigi,human,3DS,2014,0.27
super smash bros. for wii u,CHARACTER_IN,luigi,human,WiiU,2014,
mario party 10,CHARACTER_IN,luigi,human,WiiU,2015,1.58
puzzle & dragons: super mario bros. edition,CHARACTER_IN,luigi,human,3DS,2015,
dr. mario: miracle cure,CHARACTER_IN,luigi,human,3DS,2015,
super mario maker,CHARACTER_IN,luigi,human,WiiU,2015,3.21
mario tennis: ultra smash,CHARACTER_IN,luigi,human,WiiU,2015,
mario & luigi: paper jam,CHARACTER_IN,luigi,human,3DS,2015,0.76
minecraft: wii u edition,CHARACTER_IN,luigi,human,WiiU,2015,
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,luigi,human,WiiU,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,luigi,human,3DS,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games arcade edition,CHARACTER_IN,luigi,human,Arcade,2016,
mario party challenge world,CHARACTER_IN,luigi,human,Arcade,2016,
paper mario: color splash,CHARACTER_IN,luigi,human,WiiU,2016,0.42
mario party: star rush,CHARACTER_IN,luigi,human,3DS,2016,0.3
super mario maker for nintendo 3ds,CHARACTER_IN,luigi,human,3DS,2016,
super mario run,CHARACTER_IN,luigi,human,Mobile,2016,
super mario run,CHARACTER_IN,luigi,human,Mobile,2017,
mario party superstars,CHARACTER_IN,luigi,human,Switch,2021,
mario kart 8 deluxe,CHARACTER_IN,luigi,human,Switch,2017,
minecraft: nintendo switch edition,CHARACTER_IN,luigi,human,Switch,2017,
mario kart arcade gp vr,CHARACTER_IN,luigi,human,Arcade,2017,
mario + rabbids kingdom battle,CHARACTER_IN,luigi,human,Switch,2017,
minecraft: new nintendo 3ds edition,CHARACTER_IN,luigi,human,3DS,2017,
mario & luigi: superstar saga + bowser's minions,CHARACTER_IN,luigi,human,3DS,2017,
mario party: the top 100,CHARACTER_IN,luigi,human,3DS,2017,
minecraft: bedrock edition,CHARACTER_IN,luigi,human,Switch,2018,
mario tennis aces,CHARACTER_IN,luigi,human,Switch,2018,
super mario party,CHARACTER_IN,luigi,human,Switch,2018,
super smash bros. ultimate,CHARACTER_IN,luigi,human,Switch,2018,
mario & luigi: bowser's inside story + bowser jr.'s journey,CHARACTER_IN,luigi,human,3DS,2018,
new super mario bros. u deluxe,CHARACTER_IN,luigi,human,Switch,2019,
tetris 99,CHARACTER_IN,luigi,human,Switch,2019,
super mario maker 2,CHARACTER_IN,luigi,human,Switch,2019,
dr. mario world,CHARACTER_IN,luigi,human,Mobile,2019,
luigi's mansion 3,CHARACTER_IN,luigi,human,Switch,2019,
mario & sonic at the olympic games tokyo 2020,CHARACTER_IN,luigi,human,Switch,2019,
mario & sonic at the olympic games tokyo 2020 - arcade edition,CHARACTER_IN,luigi,human,Arcade,2020,
paper mario: the origami king,CHARACTER_IN,luigi,human,Switch,2020,
super mario 3d all-stars,CHARACTER_IN,luigi,human,Switch,2020,
super mario bros. 35,CHARACTER_IN,luigi,human,Switch,2020,
mario kart live: home circuit,CHARACTER_IN,luigi,human,Switch,2020,
game & watch: super mario bros.,CHARACTER_IN,luigi,human,Game & Watch,2020,
super mario 3d world + bowser's fury,CHARACTER_IN,luigi,human,Switch,2021,
mario golf: super rush,CHARACTER_IN,luigi,human,Switch,2021,
mario strikers: battle league,CHARACTER_IN,luigi,human,Switch,2022,
mario + rabbids sparks of hope,CHARACTER_IN,luigi,human,Switch,2022,
super mario bros. wonder,CHARACTER_IN,luigi,human,Switch,2023,
warioware: move it!,CHARACTER_IN,luigi,human,Switch,2023,
super mario rpg,CHARACTER_IN,luigi,human,Switch,2023,
luigi's mansion 2 hd,CHARACTER_IN,luigi,human,Switch,2024,
nintendo world championships: nes edition,CHARACTER_IN,luigi,human,Switch,2024,
super mario party jamboree,CHARACTER_IN,luigi,human,Switch,2024,
mario & luigi: brothership,CHARACTER_IN,luigi,human,Switch,2024,
mario kart world,CHARACTER_IN,luigi,human,Switch 2,2025,
donkey kong,CHARACTER_IN,mario,human,Arcade,1981,5.66
donkey kong,CHARACTER_IN,mario,human,Intellivision,1982,5.66
donkey kong,CHARACTER_IN,mario,human,ColecoVision,1982,5.66
donkey kong,CHARACTER_IN,mario,human,2600,1982,5.66
donkey kong,CHARACTER_IN,mario,human,Game & Watch,1982,5.66
donkey kong,CHARACTER_IN,mario,human,Other Handheld,1982,5.66
donkey kong,CHARACTER_IN,mario,human,PC,1983,5.66
donkey kong,CHARACTER_IN,mario,human,Other Computer,1983,5.66
donkey kong,CHARACTER_IN,mario,human,Atari 8-bit,1983,5.66
donkey kong,CHARACTER_IN,mario,human,NES,1983,5.66
donkey kong,CHARACTER_IN,mario,human,Other Computer,1984,5.66
donkey kong,CHARACTER_IN,mario,human,PC,1984,5.66
donkey kong,CHARACTER_IN,mario,human,PC,1986,5.66
donkey kong,CHARACTER_IN,mario,human,Atari 7800,1988,5.66
donkey kong,CHARACTER_IN,mario,human,famicom disk system,1988,5.66
donkey kong,CHARACTER_IN,mario,human,GB,1994,5.66
donkey kong,CHARACTER_IN,mario,human,Game & Watch,1994,5.66
crazy kong,CHARACTER_IN,mario,human,Arcade,1981,
crazy kong part ii,CHARACTER_IN,mario,human,Arcade,1981,
donkey kong jr.,CHARACTER_IN,mario,human,Arcade,1982,1.11
donkey kong jr.,CHARACTER_IN,mario,human,Game & Watch,1982,1.11
donkey kong jr.,CHARACTER_IN,mario,human,Intellivision,1983,1.11
donkey kong jr.,CHARACTER_IN,mario,human,NES,1983,1.11
donkey kong jr.,CHARACTER_IN,mario,human,Game & Watch,1983,1.11
donkey kong jr.,CHARACTER_IN,mario,human,ColecoVision,1983,1.11
donkey kong jr.,CHARACTER_IN,mario,human,2600,1983,1.11
donkey kong jr.,CHARACTER_IN,mario,human,Other Computer,1984,1.11
donkey kong jr.,CHARACTER_IN,mario,human,Atari 8-bit,1984,1.11
donkey kong jr.,CHARACTER_IN,mario,human,Atari 7800,1988,1.11
donkey kong jr.,CHARACTER_IN,mario,human,famicom disk system,1988,1.11
donkey kong ii,CHARACTER_IN,mario,human,Game & Watch,1983,
mario bros.,CHARACTER_IN,mario,human,NES,1983,3.87
mario bros.,CHARACTER_IN,mario,human,2600,1983,3.87
mario bros.,CHARACTER_IN,mario,human,Game & Watch,1983,3.87
mario bros.,CHARACTER_IN,mario,human,Arcade,1983,3.87
mario bros.,CHARACTER_IN,mario,human,PC,1984,3.87
mario bros.,CHARACTER_IN,mario,human,Atari 7800,1988,3.87
mario bros.,CHARACTER_IN,mario,human,Atari 8-bit,1988,3.87
mario's cement factory,CHARACTER_IN,mario,human,Game & Watch,1983,
mario's bombs away,CHARACTER_IN,mario,human,Game & Watch,1983,
pinball,CHARACTER_IN,mario,human,NES,1984,1.85
golf,CHARACTER_IN,mario,human,NES,1984,6.13
golf,CHARACTER_IN,mario,human,PC,1985,6.13
golf,CHARACTER_IN,mario,human,GB,1989,6.13
stroke & match golf,CHARACTER_IN,mario,human,Arcade,1984,
vs. pinball,CHARACTER_IN,mario,human,Arcade,1984,
vs. wrecking crew,CHARACTER_IN,mario,human,Arcade,1984,
mario bros. special,CHARACTER_IN,mario,human,PC,1984,
donkey kong circus,CHARACTER_IN,mario,human,Game & Watch,1984,
punch ball mario bros.,CHARACTER_IN,mario,human,PC,1984,
donkey kong hockey,CHARACTER_IN,mario,human,Game & Watch,1984,
wrecking crew,CHARACTER_IN,mario,human,NES,1985,0.51
super mario bros.,CHARACTER_IN,mario,human,NES,1985,45.31
super mario bros.,CHARACTER_IN,mario,human,Game & Watch,1986,45.31
super mario bros.,CHARACTER_IN,mario,human,Game & Watch,1989,45.31
super mario bros.,CHARACTER_IN,mario,human,Arcade,1992,45.31
vs. super mario bros.,CHARACTER_IN,mario,human,Arcade,1986,
super mario bros.: the lost levels,CHARACTER_IN,mario,human,famicom disk system,1986,2.65
super mario bros. special,CHARACTER_IN,mario,human,PC,1986,
i am a teacher: super mario sweater,CHARACTER_IN,mario,human,famicom disk system,1986,
all night nippon: super mario bros.,CHARACTER_IN,mario,human,famicom disk system,1986,
golf: japan course,CHARACTER_IN,mario,human,famicom disk system,1987,
golf: us course,CHARACTER_IN,mario,human,famicom disk system,1987,
famicom grand prix: f1 race,CHARACTER_IN,mario,human,famicom disk system,1987,
famicom grand prix ii: 3d hot rally,CHARACTER_IN,mario,human,famicom disk system,1988,
donkey kong classics,CHARACTER_IN,mario,human,NES,1988,1.56
super mario bros. 2,CHARACTER_IN,mario,human,NES,1988,7.46
super mario bros. 3,CHARACTER_IN,mario,human,NES,1988,22.48
super mario bros. 3,CHARACTER_IN,mario,human,Game & Watch,1990,22.48
mario bros. returns,CHARACTER_IN,mario,human,famicom disk system,1988,
tetris,CHARACTER_IN,mario,human,GB,1989,35.84
alleyway,CHARACTER_IN,mario,human,GB,1989,1.94
super mario land,CHARACTER_IN,mario,human,GB,1989,18.14
dr. mario,CHARACTER_IN,mario,human,NES,1990,10.19
dr. mario,CHARACTER_IN,mario,human,Other Handheld,1993,10.19
mario's egg catch,CHARACTER_IN,mario,human,Other Handheld,1990,
super mario world,CHARACTER_IN,mario,human,SNES,1990,26.07
super mario world,CHARACTER_IN,mario,human,Arcade,1993,26.07
mario roulette,CHARACTER_IN,mario,human,Arcade,1991,
nes open tournament golf,CHARACTER_IN,mario,human,NES,1991,1.0
mario teaches typing,CHARACTER_IN,mario,human,PC,1992,
mario teaches typing,CHARACTER_IN,mario,human,PC,1994,
mario teaches typing,CHARACTER_IN,mario,human,PC,1995,
super mario bros. & friends: when i grow up,CHARACTER_IN,mario,human,PC,1992,
mario the juggler,CHARACTER_IN,mario,human,Game & Watch,1991,
yoshi,CHARACTER_IN,mario,human,NES,1991,2.48
mario is missing!,CHARACTER_IN,mario,human,SNES,1993,
mario is missing!,CHARACTER_IN,mario,human,PC,1993,
mario is missing!,CHARACTER_IN,mario,human,NES,1993,
super mario bros. mushroom world,CHARACTER_IN,mario,human,Arcade,1992,
terebi denwa: super mario world,CHARACTER_IN,mario,human,Arcade,1992,
super mario kart,CHARACTER_IN,mario,human,SNES,1992,8.76
mario paint,CHARACTER_IN,mario,human,SNES,1992,2.75
yoshi's cookie,CHARACTER_IN,mario,human,NES,1992,2.8
yoshi's cookie,CHARACTER_IN,mario,human,SNES,1993,2.8
super mario race,CHARACTER_IN,mario,human,Other Handheld,1992,
super mario land 2: 6 golden coins,CHARACTER_IN,mario,human,GB,1992,11.18
būbū mario,CHARACTER_IN,mario,human,Arcade,1993,
mario undōkai,CHARACTER_IN,mario,human,Arcade,1993,
mario's time machine,CHARACTER_IN,mario,human,SNES,1993,
mario's time machine,CHARACTER_IN,mario,human,PC,1993,
mario's time machine,CHARACTER_IN,mario,human,NES,1994,
mario & wario,CHARACTER_IN,mario,human,SNES,1993,0.49
super mario all-stars,CHARACTER_IN,mario,human,SNES,1993,10.55
mario's early years! fun with letters,CHARACTER_IN,mario,human,PC,1993,
mario's early years! fun with letters,CHARACTER_IN,mario,human,SNES,1994,
mario's early years! fun with numbers,CHARACTER_IN,mario,human,PC,1993,
mario's early years! fun with numbers,CHARACTER_IN,mario,human,SNES,1994,
mario's early years! preschool fun,CHARACTER_IN,mario,human,PC,1993,
mario's early years! preschool fun,CHARACTER_IN,mario,human,SNES,1994,
yoshi's safari,CHARACTER_IN,mario,human,SNES,1993,
wario land: super mario land 3,CHARACTER_IN,mario,human,GB,1994,
hotel mario,CHARACTER_IN,mario,human,Philips CD-i,1994,
donkey kong country 2: diddy's kong quest,CHARACTER_IN,mario,human,SNES,1995,5.15
super mario world 2: yoshi's island,CHARACTER_IN,mario,human,SNES,1995,7.03
mario's tennis,CHARACTER_IN,mario,human,Virtual Boy,1995,
mario clash,CHARACTER_IN,mario,human,Virtual Boy,1995,
mario teaches typing 2,CHARACTER_IN,mario,human,PC,1996,
super mario 64,CHARACTER_IN,mario,human,N64,1996,22.19
mario kart 64,CHARACTER_IN,mario,human,N64,1996,9.87
super mario rpg: legend of the seven stars,CHARACTER_IN,mario,human,SNES,1996,2.14
wrecking crew '98,CHARACTER_IN,mario,human,SNES,1998,
super mario bros. deluxe,CHARACTER_IN,mario,human,GBC,1999,
mario golf,CHARACTER_IN,mario,human,GBC,1999,1.78
mario golf,CHARACTER_IN,mario,human,N64,1999,1.78
mario party,CHARACTER_IN,mario,human,N64,1998,2.7
mario party 2,CHARACTER_IN,mario,human,N64,1999,2.5
super smash bros.,CHARACTER_IN,mario,human,N64,1999,5.55
game & watch gallery 3,CHARACTER_IN,mario,human,GBC,1999,1.22
paper mario,CHARACTER_IN,mario,human,N64,2000,1.38
mario party 3,CHARACTER_IN,mario,human,N64,2000,1.91
dr. mario 64,CHARACTER_IN,mario,human,N64,2001,0.42
luigi's mansion,CHARACTER_IN,mario,human,GC,2001,3.6
luigi's mansion,CHARACTER_IN,mario,human,3DS,2018,3.6
super smash bros. melee,CHARACTER_IN,mario,human,GC,2001,14.14
mario tennis,CHARACTER_IN,mario,human,GBC,2000,3.59
mario tennis,CHARACTER_IN,mario,human,N64,2000,3.59
mobile golf,CHARACTER_IN,mario,human,GBC,2001,
mario kart: super circuit,CHARACTER_IN,mario,human,GBA,2001,5.47
super mario advance,CHARACTER_IN,mario,human,GBA,2001,5.49
super mario world: super mario advance 2,CHARACTER_IN,mario,human,GBA,2001,
super mario sunshine,CHARACTER_IN,mario,human,GC,2002,6.31
mario party 4,CHARACTER_IN,mario,human,GC,2002,2.47
yoshi's island: super mario advance 3,CHARACTER_IN,mario,human,GBA,2002,
mario party 5,CHARACTER_IN,mario,human,GC,2003,2.08
mario kart: double dash!!,CHARACTER_IN,mario,human,GC,2003,13.9
mario golf: toadstool tour,CHARACTER_IN,mario,human,GC,2003,1.53
mario & luigi: superstar saga,CHARACTER_IN,mario,human,GBA,2003,2.17
paper mario: the thousand-year door,CHARACTER_IN,mario,human,GC,2004,2.25
paper mario: the thousand-year door,CHARACTER_IN,mario,human,Switch,2024,2.25
mario party 6,CHARACTER_IN,mario,human,GC,2004,1.65
mario power tennis,CHARACTER_IN,mario,human,GC,2004,1.22
mario vs. donkey kong,CHARACTER_IN,mario,human,GBA,2004,1.17
mario vs. donkey kong,CHARACTER_IN,mario,human,Switch,2024,1.17
mario pinball land,CHARACTER_IN,mario,human,GBA,2004,0.69
super mario fushigi no korokoro party,CHARACTER_IN,mario,human,Arcade,2004,
super mario 64 ds,CHARACTER_IN,mario,human,DS,2004,
warioware: touched!,CHARACTER_IN,mario,human,DS,2004,
yakuman ds,CHARACTER_IN,mario,human,DS,2005,
nba street v3,CHARACTER_IN,mario,human,GC,2005,1.67
mario superstar baseball,CHARACTER_IN,mario,human,GC,2005,1.46
dance dance revolution: mario mix,CHARACTER_IN,mario,human,GC,2005,0.47
ssx on tour,CHARACTER_IN,mario,human,GC,2005,
mario kart ds,CHARACTER_IN,mario,human,DS,2005,23.21
mario party 7,CHARACTER_IN,mario,human,GC,2005,1.57
super mario strikers,CHARACTER_IN,mario,human,GC,2005,1.61
mario & luigi: partners in time,CHARACTER_IN,mario,human,DS,2005,1.29
yoshi touch & go,CHARACTER_IN,mario,human,DS,2005,0.38
mario party advance,CHARACTER_IN,mario,human,GBA,2005,0.98
mario tennis: power tour,CHARACTER_IN,mario,human,GBA,2005,0.52
mario kart arcade gp,CHARACTER_IN,mario,human,Arcade,2005,
super mario fushigi no korokoro party 2,CHARACTER_IN,mario,human,Arcade,2005,
super princess peach,CHARACTER_IN,mario,human,DS,2005,1.03
new super mario bros.,CHARACTER_IN,mario,human,DS,2006,29.8
mario hoops 3-on-3,CHARACTER_IN,mario,human,DS,2006,
mario vs. donkey kong 2: march of the minis,CHARACTER_IN,mario,human,DS,2006,1.19
yoshi's island ds,CHARACTER_IN,mario,human,DS,2006,2.76
super paper mario,CHARACTER_IN,mario,human,Wii,2007,3.71
mario party 8,CHARACTER_IN,mario,human,Wii,2007,8.27
mario strikers charged,CHARACTER_IN,mario,human,Wii,2007,2.58
mario & sonic at the olympic games,CHARACTER_IN,mario,human,Wii,2007,13.08
mario & sonic at the olympic games,CHARACTER_IN,mario,human,DS,2008,13.08
super mario galaxy,CHARACTER_IN,mario,human,Wii,2007,11.35
mario party ds,CHARACTER_IN,mario,human,DS,2007,8.91
itadaki street ds,CHARACTER_IN,mario,human,DS,2007,0.41
mario kart arcade gp 2,CHARACTER_IN,mario,human,Arcade,2007,
super smash bros. brawl,CHARACTER_IN,mario,human,Wii,2008,12.84
mario kart wii,CHARACTER_IN,mario,human,Wii,2008,35.52
game & watch collection,CHARACTER_IN,mario,human,DS,2006,
mario super sluggers,CHARACTER_IN,mario,human,Wii,2008,1.89
mario party fushigi no korokoro catcher,CHARACTER_IN,mario,human,Arcade,2009,
mario & sonic at the olympic winter games,CHARACTER_IN,mario,human,Wii,2009,7.99
mario & sonic at the olympic winter games,CHARACTER_IN,mario,human,DS,2009,7.99
new super mario bros. wii,CHARACTER_IN,mario,human,Wii,2009,28.32
mario & luigi: bowser's inside story,CHARACTER_IN,mario,human,DS,2009,3.77
super mario galaxy 2,CHARACTER_IN,mario,human,Wii,2010,7.51
super mario all-stars limited edition,CHARACTER_IN,mario,human,Wii,2010,
mario vs. donkey kong: mini-land mayhem!,CHARACTER_IN,mario,human,DS,2010,2.67
mario sports mix,CHARACTER_IN,mario,human,Wii,2010,2.08
new super mario bros. wii coin world,CHARACTER_IN,mario,human,Arcade,2011,
super mario 3d land,CHARACTER_IN,mario,human,3DS,2011,10.81
mario & sonic at the london 2012 olympic games,CHARACTER_IN,mario,human,Wii,2011,4.9
mario & sonic at the london 2012 olympic games,CHARACTER_IN,mario,human,3DS,2012,4.9
mario kart 7,CHARACTER_IN,mario,human,3DS,2011,12.66
fortune street,CHARACTER_IN,mario,human,Wii,2011,0.48
mario party 9,CHARACTER_IN,mario,human,Wii,2012,3.13
mario party kurukuru carnival,CHARACTER_IN,mario,human,Arcade,2012,
mario tennis open,CHARACTER_IN,mario,human,3DS,2012,0.95
new super mario bros. 2,CHARACTER_IN,mario,human,3DS,2012,9.9
paper mario: sticker star,CHARACTER_IN,mario,human,3DS,2012,2.3
new super mario bros. u,CHARACTER_IN,mario,human,WiiU,2012,5.22
luigi's mansion: dark moon,CHARACTER_IN,mario,human,3DS,2013,4.59
mario and donkey kong: minis on the move,CHARACTER_IN,mario,human,3DS,2013,
mario & luigi: dream team,CHARACTER_IN,mario,human,3DS,2013,2.08
mario kart arcade gp dx,CHARACTER_IN,mario,human,Arcade,2013,
mario party fushigi no korokoro catcher 2,CHARACTER_IN,mario,human,Arcade,2013,
mario & sonic at the sochi 2014 olympic winter games,CHARACTER_IN,mario,human,WiiU,2013,0.78
super mario 3d world,CHARACTER_IN,mario,human,WiiU,2013,4.32
mario party: island tour,CHARACTER_IN,mario,human,3DS,2013,1.92
yoshi's new island,CHARACTER_IN,mario,human,3DS,2014,1.38
mario golf: world tour,CHARACTER_IN,mario,human,3DS,2014,0.48
mario kart 8,CHARACTER_IN,mario,human,WiiU,2014,14.18
super smash bros. for nintendo 3ds,CHARACTER_IN,mario,human,3DS,2014,
super smash bros. for wii u,CHARACTER_IN,mario,human,WiiU,2014,
mario party 10,CHARACTER_IN,mario,human,WiiU,2015,1.58
puzzle & dragons: super mario bros. edition,CHARACTER_IN,mario,human,3DS,2015,
yoshi's woolly world,CHARACTER_IN,mario,human,WiiU,2015,1.3
super mario maker,CHARACTER_IN,mario,human,WiiU,2015,3.21
mario tennis: ultra smash,CHARACTER_IN,mario,human,WiiU,2015,
mario & luigi: paper jam,CHARACTER_IN,mario,human,3DS,2015,0.76
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,mario,human,WiiU,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,mario,human,3DS,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games arcade edition,CHARACTER_IN,mario,human,Arcade,2016,
mario party challenge world,CHARACTER_IN,mario,human,Arcade,2016,
minecraft: wii u edition,CHARACTER_IN,mario,human,WiiU,2015,
paper mario: color splash,CHARACTER_IN,mario,human,WiiU,2016,0.42
mario party: star rush,CHARACTER_IN,mario,human,3DS,2016,0.3
super mario maker for nintendo 3ds,CHARACTER_IN,mario,human,3DS,2016,
super mario run,CHARACTER_IN,mario,human,Mobile,2016,
super mario run,CHARACTER_IN,mario,human,Mobile,2017,
mario sports superstars,CHARACTER_IN,mario,human,3DS,2017,
mario kart 8 deluxe,CHARACTER_IN,mario,human,Switch,2017,
minecraft: nintendo switch edition,CHARACTER_IN,mario,human,Switch,2017,
mario + rabbids kingdom battle,CHARACTER_IN,mario,human,Switch,2017,
mario & luigi: superstar saga + bowser's minions,CHARACTER_IN,mario,human,3DS,2017,
super mario odyssey,CHARACTER_IN,mario,human,Switch,2017,
mario party: the top 100,CHARACTER_IN,mario,human,3DS,2017,
minecraft: new nintendo 3ds edition,CHARACTER_IN,mario,human,3DS,2017,
minecraft: bedrock edition,CHARACTER_IN,mario,human,Switch,2018,
mario tennis aces,CHARACTER_IN,mario,human,Switch,2018,
warioware gold,CHARACTER_IN,mario,human,3DS,2018,
super mario party,CHARACTER_IN,mario,human,Switch,2018,
super smash bros. ultimate,CHARACTER_IN,mario,human,Switch,2018,
mario & luigi: bowser's inside story + bowser jr.'s journey,CHARACTER_IN,mario,human,3DS,2018,
new super mario bros. u deluxe,CHARACTER_IN,mario,human,Switch,2019,
super mario maker 2,CHARACTER_IN,mario,human,Switch,2019,
dr. mario world,CHARACTER_IN,mario,human,Mobile,2019,
mario kart tour,CHARACTER_IN,mario,human,Mobile,2019,
luigi's mansion 3,CHARACTER_IN,mario,human,Switch,2019,
mario & sonic at the olympic games tokyo 2020,CHARACTER_IN,mario,human,Switch,2019,
mario & sonic at the olympic games tokyo 2020 - arcade edition,CHARACTER_IN,mario,human,Arcade,2020,
paper mario: the origami king,CHARACTER_IN,mario,human,Switch,2020,
super mario 3d all-stars,CHARACTER_IN,mario,human,Switch,2020,
mario kart live: home circuit,CHARACTER_IN,mario,human,Switch,2020,
game & watch: super mario bros.,CHARACTER_IN,mario,human,Game & Watch,2020,
super mario 3d world + bowser's fury,CHARACTER_IN,mario,human,Switch,2021,
mario golf: super rush,CHARACTER_IN,mario,human,Switch,2021,
warioware: get it together!,CHARACTER_IN,mario,human,Switch,2021,
mario party superstars,CHARACTER_IN,mario,human,Switch,2021,
mario strikers: battle league,CHARACTER_IN,mario,human,Switch,2022,
mario + rabbids sparks of hope,CHARACTER_IN,mario,human,Switch,2022,
super mario bros. wonder,CHARACTER_IN,mario,human,Switch,2023,
warioware: move it!,CHARACTER_IN,mario,human,Switch,2023,
super mario rpg,CHARACTER_IN,mario,human,Switch,2023,
luigi's mansion 2 hd,CHARACTER_IN,mario,human,Switch,2024,
super mario party jamboree,CHARACTER_IN,mario,human,Switch,2024,
mario & luigi: brothership,CHARACTER_IN,mario,human,Switch,2024,
mario kart world,CHARACTER_IN,mario,human,Switch 2,2025,
mario & sonic at the olympic games,CHARACTER_IN,miles  tails  prower,fox,Wii,2007,13.08
mario & sonic at the olympic games,CHARACTER_IN,miles  tails  prower,fox,DS,2008,13.08
super smash bros. brawl,CHARACTER_IN,miles  tails  prower,fox,Wii,2008,12.84
mario & sonic at the olympic winter games,CHARACTER_IN,miles  tails  prower,fox,Wii,2009,7.99
mario & sonic at the olympic winter games,CHARACTER_IN,miles  tails  prower,fox,DS,2009,7.99
mario & sonic at the london 2012 olympic games,CHARACTER_IN,miles  tails  prower,fox,Wii,2011,4.9
mario & sonic at the london 2012 olympic games,CHARACTER_IN,miles  tails  prower,fox,3DS,2012,4.9
mario & sonic at the sochi 2014 olympic winter games,CHARACTER_IN,miles  tails  prower,fox,WiiU,2013,0.78
super smash bros. for nintendo 3ds,CHARACTER_IN,miles  tails  prower,fox,3DS,2014,
super smash bros. for wii u,CHARACTER_IN,miles  tails  prower,fox,WiiU,2014,
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,miles  tails  prower,fox,WiiU,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games,CHARACTER_IN,miles  tails  prower,fox,3DS,2016,0.8700000000000001
mario & sonic at the rio 2016 olympic games arcade edition,CHARACTER_IN,miles  tails  prower,fox,Arcade,2016,
super smash bros. ultimate,CHARACTER_IN,miles  tails  prower,fox,Switch,2018,
mario & sonic at the olympic games tokyo 2020,CHARACTER_IN,miles  tails  prower,fox,Switch,2019,
mario & sonic at the olympic games tokyo 2020 - arcade edition,CHARACTER_IN,miles  tails  prower,fox,Arcade,2020,
"warioware, inc.: mega microgame$!",CHARACTER_IN,mona,human,GBA,2003,
wario world,CHARACTER_IN,mona,human,GC,2003,0.44
"warioware, inc.: mega party game$!",CHARACTER_IN,mona,human,GC,2003,
warioware: twisted!,CHARACTER_IN,mona,human,GBA,2004,0.74
warioware: touched!,CHARACTER_IN,mona,human,DS,2004,
warioware: smooth moves,CHARACTER_IN,mona,human,Wii,2006,2.89
super smash bros. brawl,CHARACTER_IN,mona,human,Wii,2008,12.84
warioware: snapped!,CHARACTER_IN,mona,human,DS,2008,
paper airplane chase,CHARACTER_IN,mona,human,DS,2008,
warioware: d.i.y.,CHARACTER_IN,mona,human,DS,2009,
game & wario,CHARACTER_IN,mona,human,WiiU,2013,0.23
super smash bros. for wii u,CHARACTER_IN,mona,human,WiiU,2014,
rhythm heaven megamix,CHARACTER_IN,mona,human,3DS,2015,
warioware gold,CHARACTER_IN,mona,human,3DS,2018,
super smash bros. ultimate,CHARACTER_IN,mona,human,Switch,2018,
warioware: get it together!,CHARACTER_IN,mona,human,Switch,2021,
tetris 99,CHARACTER_IN,mona,human,Switch,2019,
warioware: move it!,CHARACTER_IN,mona,human,Switch,2023,
super mario bros. 3,CHARACTER_IN,morton koopa jr.,koopa,NES,1988,22.48
super mario bros. 3,CHARACTER_IN,morton koopa jr.,koopa,Game & Watch,1990,22.48
super mario world,CHARACTER_IN,morton koopa jr.,koopa,SNES,1990,26.07
