Character,Game,Relation,Species
Princess Daisy,Mario Kart DS,CHARACTER_IN,Human
Princess Daisy,Super Mario Strikers,CHARACTER_IN,Human
Princess Daisy,Super Mario Fushigi no Korokoro Party 2,CHARACTER_IN,Human
Princess Daisy,Mario Hoops 3-on-3,CHARACTER_IN,Human
Princess Daisy,Mario Kart Arcade GP 2,CHARACTER_IN,Human
Princess Daisy,Mario Strikers Charged,CHARACTER_IN,Human
Princess Daisy,Mario Party 8,CHARACTER_IN,Human
Princess Daisy,Itadaki Street DS,CHARACTER_IN,Human
Princess Daisy,Mario & Sonic at the Olympic Games,CHARACTER_IN,Human
Princess Daisy,Mario Party DS,CHARACTER_IN,Human
Princess Daisy,Mario & Sonic at the Olympic Games,CHARACTER_IN,Human
Princess Daisy,Super Smash Bros. Brawl,CHARACTER_IN,Human
Princess Daisy,Mario Kart Wii,CHARACTER_IN,Human
Princess Daisy,Mario Super Sluggers,CHARACTER_IN,Human
Princess Daisy,New Play Control! Mario Power Tennis,CHARACTER_IN,Human
Princess Daisy,Mario & Sonic at the Olympic Winter Games,CHARACTER_IN,Human
Princess Daisy,Mario & Sonic at the Olympic Winter Games,CHARACTER_IN,Human
Princess Daisy,Mario Party Fushigi no Korokoro Catcher,CHARACTER_IN,Human
Princess Daisy,Mario Sports Mix,CHARACTER_IN,Human
Princess Daisy,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Human
Princess Daisy,Fortune Street,CHARACTER_IN,Human
Princess Daisy,Mario Kart 7,CHARACTER_IN,Human
Princess Daisy,StreetPass Mii Plaza,CHARACTER_IN,Human
Princess Daisy,Mario & Sonic at the London 2012 Olympic Games,CHARACTER_IN,Human
Princess Daisy,Mario Party 9,CHARACTER_IN,Human
Princess Daisy,Mario Tennis Open,CHARACTER_IN,Human
Princess Daisy,Mario Party Whirling Carnival,CHARACTER_IN,Human
Princess Daisy,Mario & Sonic at the Sochi 2014 Olympic Winter Games,CHARACTER_IN,Human
Princess Daisy,Mario Party: Island Tour,CHARACTER_IN,Human
Princess Daisy,Mario Golf: World Tour,CHARACTER_IN,Human
Princess Daisy,Mario Kart 8,CHARACTER_IN,Human
Princess Daisy,Super Smash Bros. for Nintendo 3DS,CHARACTER_IN,Human
Princess Daisy,Club Nintendo Picross+,CHARACTER_IN,Human
Princess Daisy,Super Smash Bros. for Wii U,CHARACTER_IN,Human
Princess Daisy,Nintendo Badge Arcade,CHARACTER_IN,Human
Princess Daisy,Mario Party 10,CHARACTER_IN,Human
Princess Daisy,Mario Tennis: Ultra Smash,CHARACTER_IN,Human
Princess Daisy,Mario & Luigi: Paper Jam,CHARACTER_IN,Human
Princess Daisy,Super Mario Maker (version 1.20),CHARACTER_IN,Human
